0	387348	408917	0.9472533545927413
1	34625	38780	0.8928571428571429
2	24890	27230	0.9140653690782226
3	22335	23947	0.9326846786653861
4	20369	21489	0.9478803108567174
5	18990	19782	0.9599636032757052
7	16693	17160	0.9727855477855478
10	14060	14330	0.9811584089323099
20	7566	7690	0.9838751625487646
30	3673	3753	0.978683719690914
